Name,Type,Rating,No of Reviews,Comments,Contact Number,Price,Address
Table Talk Diner," American, Diner, Vegetarian Friendly",4.0,256.0,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one",+1 845-849-2839,2.5,"2521 South Rd Ste C, Poughkeepsie, NY 12601-5476"
The Clam Bar," American, Bar, Seafood",4.0,285.0,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More,+1 315-458-1662,2.5,"3914 Brewerton Rd, Syracuse, NY 13212"
John Thomas Steakhouse," American, Steakhouse, Gluten Free Options",4.0,258.0,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!",+1 607-273-3464,4.0,"1152 Danby Rd, Ithaca, NY 14850-8927"
ZaZa's Cucina," Italian, Vegetarian Friendly, Gluten Free Options",4.0,271.0,"Nice big dining area.  Holds many people, so never feels crowded.  Food and cocktails are really good.",+1 607-273-9292,2.5,"622 Cascadilla St, Ithaca, NY 14850-4049"
New World Bistro Bar," American, Bar, Vegetarian Friendly",4.5,706.0,"Came with a group of eight people, and had a wonderful evening.  The food was a wide variety, and very high quality.  Service was excellent.  The flatbread deluxe hamburger was a unique burger, and extremely tasty.  The spicy grilled green bean appetizer platter was outstanding....More",+1 518-694-0520,2.5,"300 Delaware Ave, Albany, NY 12209-1627"
Ravenous," Belgian, French, Cafe",4.5,280.0,"The food and service were very good, but the size of the portions relative to price were a little disappointing.  They did nicely accommodate our large family gathering, which was nice!  The poutine was outstanding!More",+1 518-581-0560,2.5,"21 Phila St, Saratoga Springs, NY 12866-3104"
Beso," Latin, Spanish, Vegetarian Friendly",4.5,515.0,This place is horrible!!!!!  They dont know how to treat customers especially when they are at fault.  This place is ran by idiots and the owner should be ashamed of who he has representing him. I was a loyal customer for 4 years and after...More,+1 718-816-8162,2.5,"11 Schuyler St, Staten Island, NY 10301-1952"
Havana Central," Caribbean, Latin, Spanish",3.5,198.0,"We came with high hopes and left underwhelmed. We were hoping for something a bit different, and interesting. The waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. And the food was...More",+1 914-423-5500,2.5,"One Ridge Hill Blvd, Yonkers, NY 10710-7609"
The Capital Grille," American, Steakhouse, Vegetarian Friendly",4.5,932.0,Service was great and the steaks were awesome. I highly recommend this Capital Grill when In NYC. Everyone was accomodating.,+1 212-953-2000,4.0,"155 E 42nd St, New York City, NY 10017-5608"
Maxie's Supper Club and Oyster Bar," American, Bar, Seafood",4.0,378.0,"They nailed the Cajun atmosphere, felt like we could be dining in a New Orleans restaurant! Our waitress was very bubbly, attentive and informative. We ordered oysters from 3 different north eastern states. I had only had oysters from the gulf and never knew they...More",+1 607-272-4136,2.5,"635 W State St, Ithaca, NY 14850-3347"
677 Prime," American, Steakhouse, Gluten Free Options",4.5,437.0,"Tremendous service.  Nice atmosphere.  Ordered the large filet mignon and it had a lot of grisly fat in the middle.  Didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  I prefer...More",+1 518-427-7463,4.0,"677 Broadway, Albany, NY 12207-2998"
