name,price,rating,review_count,cuisine,categories,address,display_phone
123 Burger Shot Beer,1,3.0,1000,American,"['sportsbars', 'tradamerican', 'chicken_wings']","738 10th Ave, Hells Kitchen, NY 10019",(212) 315-0123
One Stop Patty Shop,1,4.0,40,Bakery,"['caribbean', 'breakfast_brunch']","1708 Amsterdam Ave, Harlem, NY 10031",(212) 491-7466
108 Food Dried Hot Pot,2,3.5,139,Chinese,"['hotpot', 'chinese']","2794 Broadway, East Harlem, NY 10025",(917) 675-6878
Cookshop,2,4.0,1000,American,"['newamerican', 'breakfast_brunch', 'wine_bars']","156 10th Ave, Midtown West, NY 10011",(212) 924-4440
11 Hanover Greek,3,4.0,122,Greek,"['greek', 'seafood', 'wine_bars']","11 Hanover Sq, Tribeca, NY 10005",(212) 785-4000
118 Kitchen,1,4.0,42,Tex-Mex,"['tex-mex', 'sushi']","1 E 118th St, East Harlem, NY 10035",(212) 722-6888
123BSB,2,3.0,43,American,"['sportsbars', 'tradamerican']","712 W 125th St, East Harlem, NY 10027",(646) 850-0193
Mondrian Terrace,2,4.0,39,Mediterranean,"['lounges', 'cocktailbars', 'tapasmallplates']","444 Park Ave S, Midtown East, NY 10016",(212) 804-8880
16 Handles,1,4.0,664,"Ice Cream, Gelato, Yogurt, Ices","['icecream', 'desserts', 'vegan']","153 2nd Ave, Gramercy, NY 10003",(212) 260-4414
1803,2,4.5,396,American,"['cajun', 'seafood', 'bars']","82 Reade St, Greenwich Village, NY 10007",(212) 267-3000
2 Bros Pizza,1,3.5,258,Pizza,['pizza'],"542 9th Ave, Garment District, NY 10018",(212) 777-0600
212 Steakhouse,3,4.0,671,Steak,"['steak', 'wine_bars', 'seafood']","316 E 53rd St, Midtown East, NY 10022",(212) 858-0646
22 Thai Cuisine,1,2.5,181,Thai,['thai'],"59 Nassau St, Financial District, NY 10038",(212) 732-9250
Great Wall,1,4.0,15,Chinese,['chinese'],"2234 1st Ave, East Harlem, NY 10029",(212) 426-4888
251 Ginza Sushi,2,4.0,228,Japanese,"['sushi', 'japanese']","251 E 35th St, Midtown East, NY 10016",(212) 889-3333
27 Morton,2,4.5,72,Eastern European,"['hungarian', 'german', 'georgian']","27 1/2 Morton St, Midtown West, NY 10014",(212) 929-4339
Ming's Caffe,1,4.0,119,Chinese,"['chinese', 'hkcafe']","28 Canal St, Chinatown, NY 10002",(212) 978-1888
2nd Ave Deli,2,4.0,1000,Jewish/Kosher,"['delis', 'kosher', 'sandwiches']","162 E 33rd St, Midtown East, NY 10016",(212) 689-9000
2nd Ave Deli,2,3.5,339,Jewish/Kosher,"['delis', 'sandwiches', 'kosher']","1442 1st Ave, Upper East Side, NY 10021",(212) 737-1700
375 Chicken 'n Fries,2,4.0,230,American,['hotdogs'],"124 Ludlow St, Chinatown, NY 10002",(646) 682-7578
388 Cafe & Deli,1,4.5,20,Chinese,"['cafes', 'delis']","3 Eldridge St, Little Italy, NY 10002",(212) 219-1318
44 & X Hell's Kitchen,2,3.5,883,American,"['newamerican', 'breakfast_brunch', 'bars']","622 10th Ave, Midtown West, NY 10036",(212) 977-1170
5 Napkin Burger,2,3.5,240,American,"['burgers', 'tradamerican']","1325 2nd Ave, East Harlem, NY 10021",(212) 249-0777
5 Napkin Burger,2,3.5,816,Hamburgers,['burgers'],"2315 Broadway, East Harlem, NY 10024",(212) 333-4488
5 Napkin Burger Express,2,4.0,3,American,['burgers'],"150 E 14th St, Greenwich Village, NY 10003",(212) 228-5500
5 Napkin Burger,2,3.5,821,American,['burgers'],"150 E 14th St, Greenwich Village, NY 10003",(212) 228-5500
Le Jardinier,2,4.0,43,Other,['french'],"610 Lexington Ave, Midtown East, NY 10022",(212) 451-9211
5th & Mad,2,3.5,227,Irish,"['gastropubs', 'cocktailbars']","7 E 36th St, Garment District, NY 10016",(212) 725-2353
77 Burger,2,4.5,3,Hamburgers,"['burgers', 'juicebars', 'hotdog']","77 Pearl St, Financial District, NY 10004",(212) 825-0354
82 Stanton,2,4.5,15,American,"['bars', 'newamerican', 'burgers']","82 Stanton St, Chinatown, NY 10002",(212) 473-2010
83 1/2,3,4.0,172,Italian,['italian'],"345 E 83rd St, East Harlem, NY 10028",(212) 737-8312
88 Chinese Restaurant,1,3.0,17,Chinese,['chinese'],"473 Malcolm X Blvd, Harlem, NY 10037",(212) 281-1288
8SIA,2,3.5,16,Asian,"['food_court', 'asianfusion', 'chinese']","220 E 42nd St, Midtown East, NY 10017",(917) 261-6970
8th Street Winecellar,2,4.0,357,American,"['wine_bars', 'cocktailbars', 'tapasmallplates']","28 W 8th St, Greenwich Village, NY 10011",(212) 260-9463
99 Favor Taste,2,4.0,676,Chinese,"['hotpot', 'bbq', 'chinese']","37 St Marks Pl, Greenwich Village, NY 10003",(212) 256-0480
99 Cent Express Pizza,1,3.5,90,Pizza,['pizza'],"301 W 43rd St, Garment District, NY 10036",(212) 315-5257
99 Cent Fresh Pizza,1,3.5,168,Pizza,['pizza'],"143 W 40th St, Garment District, NY 10018",(212) 366-5550
99 Cent Fresh Pizza,1,3.5,168,Pizza,['pizza'],"143 W 40th St, Garment District, NY 10018",(212) 366-5550
99 Cent Fresh Pizza,2,4.5,16,Pizza,['pizza'],"383 Canal St, SoHo, NY 10013",(212) 966-1110
99 Cent Fresh Pizza,1,3.5,173,Pizza,['pizza'],"360 W 42nd St, Garment District, NY 10036",(212) 268-1461
99 Cent Fresh Pizza,1,4.0,43,Pizza,['pizza'],"71 2nd Ave, Gramercy, NY 10003",(212) 967-3310
A A Jing,2,3.5,291,Asian,"['chinese', 'asianfusion', 'panasian']","689 9th Ave, Midtown West, NY 10036",(212) 245-0800
A La Turka,2,3.5,369,Turkish,['turkish'],"1417 2nd Ave, East Harlem, NY 10021",(212) 744-2424
A Salt & Battery,2,3.5,794,Seafood,"['fishnchips', 'desserts']","112 Greenwich Ave, Greenwich Village, NY 10011",(212) 691-2713
A Taste of Seafood,2,3.5,52,American,"['seafood', 'soulfood', 'breakfast_brunch']","1980 3rd Ave, East Harlem, NY 10029",(212) 427-3663
A & H Food Plaza,1,4.0,47,American,"['delis', 'sandwiches']","431 7th Ave, Garment District, NY 10001",(212) 563-6200
A-1 Pizza Shop,1,4.0,28,Pizza,['pizza'],"505 Grand St, Lower East Side, NY 10002",(212) 533-0214
A-jiao,2,3.5,129,Chinese,['chinese'],"1817 2nd Ave, East Harlem, NY 10128",(212) 828-8996
AWOL Bar & Grill,2,3.5,52,American,"['tradamerican', 'pubs', 'cocktailbars']","337 3rd Ave, Gramercy, NY 10010",(646) 682-9405
Aahar Indian Cuisine,2,4.5,319,Indian,['indpak'],"10 Murray St, Chinatown, NY 10007",(646) 649-3374
Abaita,2,4.0,73,Jewish/Kosher,"['kosher', 'vegetarian', 'pizza']","145 E 49th St, Midtown East, NY 10017",(646) 808-5518
Abaya Thai,2,2.5,73,Thai,['thai'],"318 W 36th St, Garment District, NY 10018",(212) 868-3399
Abbey Tavern,2,3.5,76,American,"['tradamerican', 'burgers', 'chicken_wings']","354 3rd Ave, Gramercy, NY 10010",(212) 696-1011
ABC Cocina,3,4.0,902,French,"['tapasmallplates', 'cocktailbars', 'spanish']","38 E 19th St, Greenwich Village, NY 10003",(212) 677-2233
ABC Kitchen,3,4.0,1000,American,"['newamerican', 'french']","35 E 18th St, Midtown West, NY 10003",(212) 475-5829
ABCV,3,4.0,522,American,"['newamerican', 'bars', 'vegan']","38 E 19th St, Gramercy, NY 10003",(212) 475-5829
Abigail's Kitchen,2,3.5,251,French,"['newamerican', 'cookingclasses', 'venues']","85 MacDougal St, Greenwich Village, NY 10012",(212) 673-8184
Abiko Curry,2,4.0,795,Japanese,"['japacurry', 'noodles', 'beerbar']","2 W 32nd St, Midtown West, NY 10001",(212) 695-0888
Abyssinia Ethiopian Restaurant,2,4.0,241,Ethiopian,['ethiopian'],"268 W 135th St, East Harlem, NY 10030",(212) 281-2673
Acme,3,3.0,402,American,['newamerican'],"9 Great Jones St, Greenwich Village, NY 10012",(212) 203-2121
Acosta Restaurant,1,3.5,43,Latin,"['spanish', 'dominican', 'juicebars']","934 Amsterdam Ave, Morningside Heights, NY 10025",(212) 280-2130
Rosecrans,2,4.5,29,Café/Coffee/Tea,"['cafes', 'giftshops']","7 Greenwich Ave, Greenwich Village, NY 10014",(646) 504-6864
Rosecrans,2,4.5,29,Café/Coffee/Tea,"['cafes', 'giftshops']","7 Greenwich Ave, Greenwich Village, NY 10014",(646) 504-6864
Adalya,2,4.0,136,Mediterranean,['mediterranean'],"55 Irving Pl, Greenwich Village, NY 10003",(646) 896-1441
Adella,2,4.0,169,American,"['tapas', 'newamerican', 'wine_bars']","410 W 43rd St, Midtown West, NY 10036",(212) 273-0737
Adoro Lei,2,4.5,295,Pizza,"['italian', 'pizza', 'lounges']","287 Hudson St, Greenwich Village, NY 10013",(646) 666-5096
Adrienne's Pizzabar,2,4.0,1000,Italian,"['pizza', 'italian', 'beerbar']","54 Stone St, Chinatown, NY 10004",(212) 248-3838
Adventure Cafe,1,4.5,37,Café/Coffee/Tea,['cafes'],"85 Delancey St, Chinatown, NY 10002",(646) 847-2367
Adyar Ananda Bhavan,2,4.0,321,Indian,"['indpak', 'vegetarian']","1071 1st Ave, Midtown East, NY 10022",(212) 750-6666
Afghan Kebab House,2,3.5,277,Afghan,"['afghani', 'halal']","764 9th Ave, Hells Kitchen, NY 10019",(212) 307-1612
Ageha Sushi,2,4.0,670,Chinese/Japanese,['sushi'],"767 9th Ave, Midtown West, NY 10019",(212) 581-8188
Agern,4,4.0,205,American,"['scandinavian', 'bars']","89 E 42nd St, Midtown West, NY 10017",(646) 568-4018
Agora Turkish Restaurant,2,4.5,563,Turkish,"['turkish', 'mediterranean', 'halal']","1565 2nd Ave, Midtown West, NY 10028",(212) 717-1220
Ahimsa Garden,2,4.5,123,Vegetarian,"['indpak', 'vegetarian', 'kosher']","265 E 10th St, Greenwich Village, NY 10009",(212) 228-2022
Ai Fiori,4,4.0,1000,Italian,"['italian', 'french', 'cocktailbars']","400 5th Ave, Midtown West, NY 10018",(212) 613-8660
The Ainsworth - Midtown,2,3.0,227,American,"['newamerican', 'sportsbars']","45 E 33rd St, Midtown East, NY 10016",(212) 201-1228
Aiyara Thai,2,4.0,57,Thai,['thai'],"480 9th Ave, Midtown West, NY 10018",(212) 564-1822
Ajisen Ramen,2,3.5,402,Japanese,"['ramen', 'sushi', 'noodles']","14 Mott St, Little Italy, NY 10013",(212) 267-9680
Ajisen Ramen,2,3.5,420,Japanese,"['ramen', 'sushi', 'bubbletea']","136 W 28th St, Garment District, NY 10001",(646) 638-0888
Akdeniz Mediterranean Restaurant,2,4.0,390,Turkish,"['turkish', 'mediterranean']","19 W 46th St, Midtown West, NY 10036",(212) 575-2307
Al Horno Lean Mexican Kitchen,2,3.0,65,Mexican,['mexican'],"110 Pearl St, Financial District, NY 10005",(212) 480-8500
Al Horno Lean Mexican Kitchen,2,3.5,42,Mexican,['mexican'],"57 1st Ave, SoHo, NY 10003",(646) 609-3762
Al Horno Lean Mexican Kitchen,2,3.5,252,Mexican,['mexican'],"417 W 47th St, Garment District, NY 10036",(212) 977-1000
Empellón Al Pastor Murray Hill,2,3.5,59,Mexican,"['bars', 'mexican', 'newmexican']","145 E 39th St, Midtown East, NY 10016",(212) 865-5800
Alachi Masala,2,4.0,216,Indian,"['indpak', 'gluten_free', 'vegan']","488 Amsterdam Ave, Upper West Side, NY 10024",(212) 874-0737
Grill Point 181,1,4.0,74,Other,"['mediterranean', 'mideastern']","736 W 181st St, Harlem, NY 10033",(212) 256-0701
Grill Point 181,1,4.0,74,Mediterranean,"['mediterranean', 'mideastern']","736 W 181st St, Harlem, NY 10033",(212) 256-0701
Alcala Restaurant,3,4.0,132,Spanish,"['spanish', 'basque']","246 E 44th St, Midtown East, NY 10017",(212) 370-1866
Alfie's,2,4.0,520,Irish,"['newamerican', 'gastropubs', 'beer_and_wine']","800 9th Ave, Midtown West, NY 10019",(212) 757-2390
Ali Baba's Turkish Cuisine,2,3.0,277,Turkish,"['turkish', 'mediterranean', 'kebab']","862 2nd Ave, Midtown East, NY 10017",(212) 888-8622
Alice's Tea Cup,2,4.0,1000,American,"['breakfast_brunch', 'tea', 'tradamerican']","102 W 73rd St, Upper West Side, NY 10023",(212) 799-3006
Allora Ristorante,3,4.5,588,Italian,"['italian', 'bars']","145 E 47th St, Midtown West, NY 10017",(212) 754-9800
Almond,2,4.0,1000,French,"['newamerican', 'french']","12 E 22nd St, Gramercy, NY 10010",(212) 228-7557
Alphonso's Pizzeria & Trattoria,1,3.5,123,Italian,"['pizza', 'italian']","525 Grand St, Lower East Side, NY 10002",(212) 477-3367
Alta,3,4.0,1000,American,"['tapas', 'mediterranean', 'spanish']","64 W 10th St, Midtown West, NY 10011",(212) 505-7777
Altesi Downtown,2,4.0,74,Italian,['italian'],"200 Spring St, Greenwich Village, NY 10012",(212) 431-1212
Altus Cafe,2,3.0,158,Latin,"['steak', 'latin']","4325 Broadway, Harlem, NY 10033",(212) 928-1367
