name,price,rating,review_count,cuisine,address,display_phone,comments
123 Burger Shot Beer,1,3.0,1000.0,"['american', 'sportsbars', 'tradamerican', 'chicken_wings']","738 10th Ave, Hells Kitchen, NY 10019",(212) 315-0123,N/A
One Stop Patty Shop,1,4.0,40.0,"['bakery', 'caribbean', 'breakfast_brunch']","1708 Amsterdam Ave, Harlem, NY 10031",(212) 491-7466,N/A
108 Food Dried Hot Pot,2,3.5,139.0,"['chinese', 'hotpot']","2794 Broadway, East Harlem, NY 10025",(917) 675-6878,N/A
Cookshop,2,4.0,1000.0,"['american', 'newamerican', 'breakfast_brunch', 'wine_bars']","156 10th Ave, Midtown West, NY 10011",(212) 924-4440,N/A
11 Hanover Greek,3,4.0,122.0,"['greek', 'seafood', 'wine_bars']","11 Hanover Sq, Tribeca, NY 10005",(212) 785-4000,N/A
118 Kitchen,1,4.0,42.0,"['tex-mex', 'sushi']","1 E 118th St, East Harlem, NY 10035",(212) 722-6888,N/A
123BSB,2,3.0,43.0,"['american', 'sportsbars', 'tradamerican']","712 W 125th St, East Harlem, NY 10027",(646) 850-0193,N/A
Mondrian Terrace,2,4.0,39.0,"['mediterranean', 'lounges', 'cocktailbars', 'tapasmallplates']","444 Park Ave S, Midtown East, NY 10016",(212) 804-8880,N/A
16 Handles,1,4.0,664.0,"['ice_cream,_gelato,_yogurt,_ices', 'icecream', 'desserts', 'vegan']","153 2nd Ave, Gramercy, NY 10003",(212) 260-4414,N/A
1803,2,4.5,396.0,"['american', 'cajun', 'seafood', 'bars']","82 Reade St, Greenwich Village, NY 10007",(212) 267-3000,N/A
2 Bros Pizza,1,3.5,258.0,['pizza'],"542 9th Ave, Garment District, NY 10018",(212) 777-0600,N/A
212 Steakhouse,3,4.0,671.0,"['steak', 'wine_bars', 'seafood']","316 E 53rd St, Midtown East, NY 10022",(212) 858-0646,N/A
22 Thai Cuisine,1,2.5,181.0,['thai'],"59 Nassau St, Financial District, NY 10038",(212) 732-9250,N/A
Great Wall,1,4.0,15.0,['chinese'],"2234 1st Ave, East Harlem, NY 10029",(212) 426-4888,N/A
251 Ginza Sushi,2,4.0,228.0,"['japanese', 'sushi']","251 E 35th St, Midtown East, NY 10016",(212) 889-3333,N/A
27 Morton,2,4.5,72.0,"['eastern_european', 'hungarian', 'german', 'georgian']","27 1/2 Morton St, Midtown West, NY 10014",(212) 929-4339,N/A
Ming's Caffe,1,4.0,119.0,"['chinese', 'hkcafe']","28 Canal St, Chinatown, NY 10002",(212) 978-1888,N/A
2nd Ave Deli,2,4.0,1000.0,"['jewish/kosher', 'delis', 'kosher', 'sandwiches']","162 E 33rd St, Midtown East, NY 10016",(212) 689-9000,N/A
2nd Ave Deli,2,3.5,339.0,"['jewish/kosher', 'delis', 'sandwiches', 'kosher']","1442 1st Ave, Upper East Side, NY 10021",(212) 737-1700,N/A
375 Chicken 'n Fries,2,4.0,230.0,"['american', 'hotdogs']","124 Ludlow St, Chinatown, NY 10002",(646) 682-7578,N/A
388 Cafe & Deli,1,4.5,20.0,"['chinese', 'cafes', 'delis']","3 Eldridge St, Little Italy, NY 10002",(212) 219-1318,N/A
44 & X Hell's Kitchen,2,3.5,883.0,"['american', 'newamerican', 'breakfast_brunch', 'bars']","622 10th Ave, Midtown West, NY 10036",(212) 977-1170,N/A
5 Napkin Burger,2,3.5,240.0,"['american', 'burgers', 'tradamerican']","1325 2nd Ave, East Harlem, NY 10021",(212) 249-0777,N/A
5 Napkin Burger,2,3.5,816.0,"['hamburgers', 'burgers']","2315 Broadway, East Harlem, NY 10024",(212) 333-4488,N/A
5 Napkin Burger Express,2,4.0,3.0,"['american', 'burgers']","150 E 14th St, Greenwich Village, NY 10003",(212) 228-5500,N/A
5 Napkin Burger,2,3.5,821.0,"['american', 'burgers']","150 E 14th St, Greenwich Village, NY 10003",(212) 228-5500,N/A
Le Jardinier,2,4.0,43.0,"['other', 'french']","610 Lexington Ave, Midtown East, NY 10022",(212) 451-9211,N/A
5th & Mad,2,3.5,227.0,"['irish', 'gastropubs', 'cocktailbars']","7 E 36th St, Garment District, NY 10016",(212) 725-2353,N/A
77 Burger,2,4.5,3.0,"['hamburgers', 'burgers', 'juicebars', 'hotdog']","77 Pearl St, Financial District, NY 10004",(212) 825-0354,N/A
82 Stanton,2,4.5,15.0,"['american', 'bars', 'newamerican', 'burgers']","82 Stanton St, Chinatown, NY 10002",(212) 473-2010,N/A
83 1/2,3,4.0,172.0,['italian'],"345 E 83rd St, East Harlem, NY 10028",(212) 737-8312,N/A
88 Chinese Restaurant,1,3.0,17.0,['chinese'],"473 Malcolm X Blvd, Harlem, NY 10037",(212) 281-1288,N/A
8SIA,2,3.5,16.0,"['asian', 'food_court', 'asianfusion', 'chinese']","220 E 42nd St, Midtown East, NY 10017",(917) 261-6970,N/A
8th Street Winecellar,2,4.0,357.0,"['american', 'wine_bars', 'cocktailbars', 'tapasmallplates']","28 W 8th St, Greenwich Village, NY 10011",(212) 260-9463,N/A
99 Favor Taste,2,4.0,676.0,"['chinese', 'hotpot', 'bbq']","37 St Marks Pl, Greenwich Village, NY 10003",(212) 256-0480,N/A
99 Cent Express Pizza,1,3.5,90.0,['pizza'],"301 W 43rd St, Garment District, NY 10036",(212) 315-5257,N/A
99 Cent Fresh Pizza,1,3.5,168.0,['pizza'],"143 W 40th St, Garment District, NY 10018",(212) 366-5550,N/A
99 Cent Fresh Pizza,2,4.5,16.0,['pizza'],"383 Canal St, SoHo, NY 10013",(212) 966-1110,N/A
99 Cent Fresh Pizza,1,3.5,173.0,['pizza'],"360 W 42nd St, Garment District, NY 10036",(212) 268-1461,N/A
99 Cent Fresh Pizza,1,4.0,43.0,['pizza'],"71 2nd Ave, Gramercy, NY 10003",(212) 967-3310,N/A
A A Jing,2,3.5,291.0,"['asian', 'chinese', 'asianfusion', 'panasian']","689 9th Ave, Midtown West, NY 10036",(212) 245-0800,N/A
A La Turka,2,3.5,369.0,['turkish'],"1417 2nd Ave, East Harlem, NY 10021",(212) 744-2424,N/A
A Salt & Battery,2,3.5,794.0,"['seafood', 'fishnchips', 'desserts']","112 Greenwich Ave, Greenwich Village, NY 10011",(212) 691-2713,N/A
A Taste of Seafood,2,3.5,52.0,"['american', 'seafood', 'soulfood', 'breakfast_brunch']","1980 3rd Ave, East Harlem, NY 10029",(212) 427-3663,N/A
A & H Food Plaza,1,4.0,47.0,"['american', 'delis', 'sandwiches']","431 7th Ave, Garment District, NY 10001",(212) 563-6200,N/A
A-1 Pizza Shop,1,4.0,28.0,['pizza'],"505 Grand St, Lower East Side, NY 10002",(212) 533-0214,N/A
A-jiao,2,3.5,129.0,['chinese'],"1817 2nd Ave, East Harlem, NY 10128",(212) 828-8996,N/A
AWOL Bar & Grill,2,3.5,52.0,"['american', 'tradamerican', 'pubs', 'cocktailbars']","337 3rd Ave, Gramercy, NY 10010",(646) 682-9405,N/A
Aahar Indian Cuisine,2,4.5,319.0,"['indian', 'indpak']","10 Murray St, Chinatown, NY 10007",(646) 649-3374,N/A
Abaita,2,4.0,73.0,"['jewish/kosher', 'kosher', 'vegetarian', 'pizza']","145 E 49th St, Midtown East, NY 10017",(646) 808-5518,N/A
Abaya Thai,2,2.5,73.0,['thai'],"318 W 36th St, Garment District, NY 10018",(212) 868-3399,N/A
Abbey Tavern,2,3.5,76.0,"['american', 'tradamerican', 'burgers', 'chicken_wings']","354 3rd Ave, Gramercy, NY 10010",(212) 696-1011,N/A
ABC Cocina,3,4.0,902.0,"['french', 'tapasmallplates', 'cocktailbars', 'spanish']","38 E 19th St, Greenwich Village, NY 10003",(212) 677-2233,N/A
ABC Kitchen,3,4.0,1000.0,"['american', 'newamerican', 'french']","35 E 18th St, Midtown West, NY 10003",(212) 475-5829,N/A
ABCV,3,4.0,522.0,"['american', 'newamerican', 'bars', 'vegan']","38 E 19th St, Gramercy, NY 10003",(212) 475-5829,N/A
Abigail's Kitchen,2,3.5,251.0,"['french', 'newamerican', 'cookingclasses', 'venues']","85 MacDougal St, Greenwich Village, NY 10012",(212) 673-8184,N/A
Abiko Curry,2,4.0,795.0,"['japanese', 'japacurry', 'noodles', 'beerbar']","2 W 32nd St, Midtown West, NY 10001",(212) 695-0888,N/A
Abyssinia Ethiopian Restaurant,2,4.0,241.0,['ethiopian'],"268 W 135th St, East Harlem, NY 10030",(212) 281-2673,N/A
Acme,3,3.0,402.0,"['american', 'newamerican']","9 Great Jones St, Greenwich Village, NY 10012",(212) 203-2121,N/A
Acosta Restaurant,1,3.5,43.0,"['latin', 'spanish', 'dominican', 'juicebars']","934 Amsterdam Ave, Morningside Heights, NY 10025",(212) 280-2130,N/A
Rosecrans,2,4.5,29.0,"['café/coffee/tea', 'cafes', 'giftshops']","7 Greenwich Ave, Greenwich Village, NY 10014",(646) 504-6864,N/A
Adalya,2,4.0,136.0,['mediterranean'],"55 Irving Pl, Greenwich Village, NY 10003",(646) 896-1441,N/A
Adella,2,4.0,169.0,"['american', 'tapas', 'newamerican', 'wine_bars']","410 W 43rd St, Midtown West, NY 10036",(212) 273-0737,N/A
Adoro Lei,2,4.5,295.0,"['pizza', 'italian', 'lounges']","287 Hudson St, Greenwich Village, NY 10013",(646) 666-5096,N/A
Adrienne's Pizzabar,2,4.0,1000.0,"['italian', 'pizza', 'beerbar']","54 Stone St, Chinatown, NY 10004",(212) 248-3838,N/A
Adventure Cafe,1,4.5,37.0,"['café/coffee/tea', 'cafes']","85 Delancey St, Chinatown, NY 10002",(646) 847-2367,N/A
Adyar Ananda Bhavan,2,4.0,321.0,"['indian', 'indpak', 'vegetarian']","1071 1st Ave, Midtown East, NY 10022",(212) 750-6666,N/A
Afghan Kebab House,2,3.5,277.0,"['afghan', 'afghani', 'halal']","764 9th Ave, Hells Kitchen, NY 10019",(212) 307-1612,N/A
Ageha Sushi,2,4.0,670.0,"['chinese/japanese', 'sushi']","767 9th Ave, Midtown West, NY 10019",(212) 581-8188,N/A
Agern,4,4.0,205.0,"['american', 'scandinavian', 'bars']","89 E 42nd St, Midtown West, NY 10017",(646) 568-4018,N/A
Agora Turkish Restaurant,2,4.5,563.0,"['turkish', 'mediterranean', 'halal']","1565 2nd Ave, Midtown West, NY 10028",(212) 717-1220,N/A
Ahimsa Garden,2,4.5,123.0,"['vegetarian', 'indpak', 'kosher']","265 E 10th St, Greenwich Village, NY 10009",(212) 228-2022,N/A
Ai Fiori,4,4.0,1000.0,"['italian', 'french', 'cocktailbars']","400 5th Ave, Midtown West, NY 10018",(212) 613-8660,N/A
The Ainsworth - Midtown,2,3.0,227.0,"['american', 'newamerican', 'sportsbars']","45 E 33rd St, Midtown East, NY 10016",(212) 201-1228,N/A
Aiyara Thai,2,4.0,57.0,['thai'],"480 9th Ave, Midtown West, NY 10018",(212) 564-1822,N/A
Ajisen Ramen,2,3.5,402.0,"['japanese', 'ramen', 'sushi', 'noodles']","14 Mott St, Little Italy, NY 10013",(212) 267-9680,N/A
Ajisen Ramen,2,3.5,420.0,"['japanese', 'ramen', 'sushi', 'bubbletea']","136 W 28th St, Garment District, NY 10001",(646) 638-0888,N/A
Akdeniz Mediterranean Restaurant,2,4.0,390.0,"['turkish', 'mediterranean']","19 W 46th St, Midtown West, NY 10036",(212) 575-2307,N/A
